time,value
2025-04-13T00:54:21.773801043Z,45
2025-04-13T00:54:22.329328734Z,44
2025-04-13T00:54:22.999617249Z,43
2025-04-13T00:54:23.555567127Z,45
2025-04-13T00:54:24.115729233Z,43
2025-04-13T00:54:24.671551257Z,39
2025-04-13T00:54:25.274046867Z,49
2025-04-13T00:54:25.829245293Z,43
2025-04-13T00:54:26.385045211Z,44
2025-04-13T00:54:26.941371714Z,45
2025-04-13T00:54:27.523582516Z,44
2025-04-13T00:54:28.165151302Z,43
2025-04-13T00:54:28.722933956Z,45
2025-04-13T00:54:29.300989309Z,58
2025-04-13T00:54:29.857125708Z,50
2025-04-13T00:54:30.411791481Z,45
2025-04-13T00:54:30.970380501Z,44
2025-04-13T00:54:31.549085197Z,43
2025-04-13T00:54:32.105578719Z,44
2025-04-13T00:54:32.757993208Z,43
2025-04-13T00:54:33.419479153Z,44
2025-04-13T00:54:33.976870876Z,45
2025-04-13T00:54:34.531667223Z,43
2025-04-13T00:54:35.087911821Z,44
2025-04-13T00:54:35.689971133Z,43
2025-04-13T00:54:36.25338349Z,45
2025-04-13T00:54:36.90358369Z,43
2025-04-13T00:54:37.477808827Z,45
2025-04-13T00:54:38.035641417Z,43
2025-04-13T00:54:38.593086566Z,45
2025-04-13T00:54:39.150065572Z,43
2025-04-13T00:54:39.733388799Z,44
2025-04-13T00:54:40.381814169Z,45
2025-04-13T00:54:40.937897104Z,43
2025-04-13T00:54:41.61016634Z,45
2025-04-13T00:54:42.16585924Z,44
2025-04-13T00:54:42.719818953Z,43
2025-04-13T00:54:43.36571916Z,47
2025-04-13T00:54:43.943826634Z,45
2025-04-13T00:54:44.499775783Z,44
2025-04-13T00:54:45.057805589Z,46
2025-04-13T00:54:45.657981603Z,43
2025-04-13T00:54:46.214066557Z,45
2025-04-13T00:54:46.769831599Z,43
2025-04-13T00:54:47.321951403Z,44
2025-04-13T00:54:47.99983328Z,43
2025-04-13T00:54:48.547830399Z,45
2025-04-13T00:54:49.106036567Z,42
2025-04-13T00:54:49.659948539Z,44
2025-04-13T00:54:50.240277151Z,43
2025-04-13T00:54:50.795826181Z,44
2025-04-13T00:54:51.443970867Z,43
2025-04-13T00:54:52.022056251Z,45
2025-04-13T00:54:52.581983161Z,43
2025-04-13T00:54:53.135849783Z,46
2025-04-13T00:54:53.781908563Z,44
2025-04-13T00:54:54.362063143Z,43
2025-04-13T00:54:55.007727737Z,44
2025-04-13T00:54:55.582227007Z,43
2025-04-13T00:54:56.161753626Z,50
2025-04-13T00:54:56.810026071Z,52
2025-04-13T00:54:57.368046198Z,49
2025-04-13T00:54:57.919774557Z,43
2025-04-13T00:54:58.506382413Z,46
2025-04-13T00:54:59.054152575Z,44
2025-04-13T00:54:59.605958096Z,37
2025-04-13T00:55:00.189842016Z,46
2025-04-13T00:55:00.744128623Z,44
2025-04-13T00:55:01.300028936Z,43
2025-04-13T00:55:01.853773011Z,44
2025-04-13T00:55:02.441992595Z,45
2025-04-13T00:55:03.001855222Z,44
2025-04-13T00:55:03.550558516Z,46
2025-04-13T00:55:04.108262689Z,44
2025-04-13T00:55:04.690167244Z,46
2025-04-13T00:55:05.34019635Z,44
2025-04-13T00:55:05.906502518Z,45
2025-04-13T00:55:06.499079622Z,43
2025-04-13T00:55:07.045252642Z,45
2025-04-13T00:55:07.596665906Z,44
2025-04-13T00:55:08.154799258Z,37
2025-04-13T00:55:08.732713067Z,44
2025-04-13T00:55:09.379026095Z,46
2025-04-13T00:55:09.93688558Z,43
2025-04-13T00:55:10.52153065Z,44
2025-04-13T00:55:11.073118019Z,43
2025-04-13T00:55:11.629876838Z,45
2025-04-13T00:55:12.18740415Z,43
2025-04-13T00:55:12.859534054Z,45
2025-04-13T00:55:13.517739173Z,43
2025-04-13T00:55:14.06291542Z,45
2025-04-13T00:55:14.822067565Z,43
2025-04-13T00:55:15.383265917Z,44
2025-04-13T00:55:15.939174114Z,51
2025-04-13T00:55:16.494147098Z,45
2025-04-13T00:55:17.072533471Z,44
2025-04-13T00:55:17.716856571Z,45
2025-04-13T00:55:18.272904944Z,44
2025-04-13T00:55:19.032906805Z,45
2025-04-13T00:55:19.677437196Z,43
2025-04-13T00:55:20.234568284Z,45
2025-04-13T00:55:20.997774194Z,44
2025-04-13T00:55:21.552338823Z,45
2025-04-13T00:55:22.104850255Z,44
2025-04-13T00:55:22.662279023Z,43
2025-04-13T00:55:23.240463908Z,44
2025-04-13T00:55:23.892486808Z,45
2025-04-13T00:55:24.441718623Z,44
2025-04-13T00:55:25.201509403Z,45
2025-04-13T00:55:25.780624794Z,44
2025-04-13T00:55:26.34030833Z,46
2025-04-13T00:55:26.916459263Z,45
2025-04-13T00:55:27.560797141Z,43
2025-04-13T00:55:28.116110357Z,45
2025-04-13T00:55:28.669986787Z,46
2025-04-13T00:55:29.25139113Z,45
2025-04-13T00:55:29.808609604Z,44
2025-04-13T00:55:30.460345905Z,45
2025-04-13T00:55:31.213580346Z,43
2025-04-13T00:55:31.766799944Z,44
2025-04-13T00:55:32.322191994Z,45
2025-04-13T00:55:32.876714814Z,44
2025-04-13T00:55:33.641457535Z,45
2025-04-13T00:55:34.194990355Z,44
2025-04-13T00:55:34.749733607Z,52
2025-04-13T00:55:35.334979737Z,47
2025-04-13T00:55:35.919443059Z,45
2025-04-13T00:55:36.563764223Z,43
2025-04-13T00:55:37.120773047Z,45
2025-04-13T00:55:37.700134014Z,44
2025-04-13T00:55:38.257308756Z,45
2025-04-13T00:55:38.813431461Z,43
2025-04-13T00:55:39.395161139Z,44
2025-04-13T00:55:40.038040688Z,46
2025-04-13T00:55:40.595489374Z,44
2025-04-13T00:55:41.151481903Z,45
2025-04-13T00:55:41.735291975Z,44
2025-04-13T00:55:42.291812722Z,47
2025-04-13T00:55:42.867995522Z,43
2025-04-13T00:55:43.427329228Z,45
2025-04-13T00:55:43.982455711Z,44
2025-04-13T00:55:44.551396351Z,43
2025-04-13T00:55:45.185307694Z,45
2025-04-13T00:55:45.695705202Z,44
2025-04-13T00:55:46.249705892Z,39
2025-04-13T00:55:46.804703727Z,46
2025-04-13T00:55:47.357326569Z,45
2025-04-13T00:55:47.938863783Z,44
2025-04-13T00:55:48.493579013Z,42
2025-04-13T00:55:49.051369625Z,44
2025-04-13T00:55:49.629649178Z,43
2025-04-13T00:55:50.18731861Z,45
2025-04-13T00:55:50.742983214Z,44
2025-04-13T00:55:51.38915415Z,45
2025-04-13T00:55:51.969414719Z,44
2025-04-13T00:55:52.705352266Z,45
2025-04-13T00:55:53.259141191Z,44
2025-04-13T00:55:53.83924534Z,45
2025-04-13T00:55:54.391873434Z,44
2025-04-13T00:55:55.037282283Z,45
2025-04-13T00:55:55.611070742Z,44
2025-04-13T00:55:56.279831461Z,43
2025-04-13T00:55:56.837484785Z,45
2025-04-13T00:55:57.391983896Z,44
2025-04-13T00:55:58.153670745Z,45
2025-04-13T00:55:58.709442857Z,44
2025-04-13T00:55:59.355608303Z,45
2025-04-13T00:56:00.121666752Z,44
2025-04-13T00:56:00.671823621Z,45
2025-04-13T00:56:01.226752271Z,38
2025-04-13T00:56:01.781884084Z,44
2025-04-13T00:56:02.451737266Z,45
2025-04-13T00:56:03.007361303Z,44
2025-04-13T00:56:03.56162785Z,43
2025-04-13T00:56:04.14090811Z,44
2025-04-13T00:56:04.696393382Z,43
2025-04-13T00:56:05.251449994Z,45
2025-04-13T00:56:05.83667767Z,44
2025-04-13T00:56:06.420119933Z,39
2025-04-13T00:56:06.976442302Z,44
2025-04-13T00:56:07.533728802Z,45
2025-04-13T00:56:08.112173685Z,44
2025-04-13T00:56:08.669392332Z,45
2025-04-13T00:56:09.313905033Z,44
2025-04-13T00:56:09.871981604Z,48
2025-04-13T00:56:10.473217605Z,44
2025-04-13T00:56:11.005910072Z,45
2025-04-13T00:56:11.561278806Z,44
2025-04-13T00:56:12.230735919Z,42
2025-04-13T00:56:12.788652758Z,45
2025-04-13T00:56:13.34572639Z,44
2025-04-13T00:56:13.989981649Z,45
2025-04-13T00:56:14.656861553Z,44
2025-04-13T00:56:15.301021685Z,47
2025-04-13T00:56:16.149967471Z,44
2025-04-13T00:56:16.727148572Z,45
2025-04-13T00:56:17.284210533Z,44
2025-04-13T00:56:17.841456748Z,45
2025-04-13T00:56:18.42179167Z,43
2025-04-13T00:56:18.977035061Z,44
2025-04-13T00:56:19.53419989Z,43
2025-04-13T00:56:20.090210837Z,45
2025-04-13T00:56:20.764060564Z,43
2025-04-13T00:56:21.317986386Z,45
2025-04-13T00:56:21.964102166Z,43
2025-04-13T00:56:22.546076265Z,45
2025-04-13T00:56:23.105448297Z,47
2025-04-13T00:56:23.659431788Z,44
2025-04-13T00:56:24.217509366Z,45
2025-04-13T00:56:24.799710932Z,44
2025-04-13T00:56:25.357055131Z,45
2025-04-13T00:56:25.932977324Z,43
2025-04-13T00:56:26.485735595Z,45
2025-04-13T00:56:27.062712162Z,43
2025-04-13T00:56:27.624019188Z,44
2025-04-13T00:56:28.173571455Z,45
2025-04-13T00:56:28.843699742Z,44
2025-04-13T00:56:29.488354456Z,45
2025-04-13T00:56:30.041639768Z,44
2025-04-13T00:56:30.60820021Z,36
2025-04-13T00:56:31.183134466Z,48
2025-04-13T00:56:31.733558701Z,52
2025-04-13T00:56:32.293842919Z,44
2025-04-13T00:56:32.964361278Z,43
2025-04-13T00:56:33.521511076Z,46
2025-04-13T00:56:34.078007634Z,44
2025-04-13T00:56:34.63489964Z,45
2025-04-13T00:56:35.393787638Z,44
2025-04-13T00:56:36.070732237Z,46
2025-04-13T00:56:36.633579906Z,44
2025-04-13T00:56:37.205771929Z,56
2025-04-13T00:56:37.763412834Z,45
2025-04-13T00:56:38.49930144Z,44
2025-04-13T00:56:39.08076416Z,43
2025-04-13T00:56:39.634013543Z,45
2025-04-13T00:56:40.281812098Z,43
2025-04-13T00:56:40.837428668Z,45
2025-04-13T00:56:41.417184285Z,44
2025-04-13T00:56:41.971021564Z,45
2025-04-13T00:56:42.620703754Z,43
2025-04-13T00:56:43.194676511Z,44
2025-04-13T00:56:43.869000247Z,45
2025-04-13T00:56:44.571851176Z,44
2025-04-13T00:56:45.151520779Z,45
2025-04-13T00:56:45.815855802Z,44
2025-04-13T00:56:46.376419359Z,45
2025-04-13T00:56:46.929287321Z,43
